Provider,PotentialFraud,InpatientClaimCount,UniqueInpatientBeneficiaries,AvgInpatientReimbursement,TotalInpatientReimbursement,AvgLengthOfStay,MaxLengthOfStay,AvgDiagnosisCount,OutpatientClaimCount,UniqueOutpatientBeneficiaries,AvgOutpatientReimbursement,TotalOutpatientReimbursement,AvgPatientAge,AvgChronicConditions,DeceasedRate,AvgIPAnnualReimbursement,AvgOPAnnualReimbursement,UniqueBeneficiaries,Fraud
PRV51046,No,8.0,7.0,12625.0,101000.0,4.5,9.0,8.0,30.0,19.0,279.0,8370.0,71.03846153846153,4.653846153846154,0.0,7563.846153846154,2120.3846153846152,26,0
PRV51047,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,230.0,2530.0,70.54545454545455,3.909090909090909,0.0,4106.363636363636,1662.7272727272727,11,0
PRV51048,No,4.0,4.0,4750.0,19000.0,4.75,10.0,8.5,34.0,30.0,255.88235294117646,8700.0,71.24242424242425,4.909090909090909,0.0,4500.0,2199.6969696969695,33,0
PRV51049,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,65.0,305.9154929577465,21720.0,70.04615384615384,4.415384615384616,0.0,2365.5384615384614,3096.769230769231,65,0
PRV51052,Yes,2.0,2.0,7000.0,14000.0,9.0,14.0,8.5,44.0,36.0,381.8181818181818,16800.0,70.27027027027027,4.135135135135135,0.0,2969.189189189189,1958.6486486486488,37,1
PRV51053,No,1.0,1.0,8000.0,8000.0,5.0,5.0,9.0,0.0,0.0,0.0,0.0,68.0,4.0,0.0,8000.0,90.0,1,0
PRV51054,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,40.0,265.43859649122805,15130.0,70.425,3.575,0.0,2650.0,2127.25,40,0
PRV51055,No,2.0,2.0,8350.0,16700.0,5.5,6.0,9.0,20.0,20.0,247.0,4940.0,68.72727272727273,4.681818181818182,0.0,5162.272727272727,1344.090909090909,22,0
PRV51056,No,2.0,2.0,4000.0,8000.0,3.0,5.0,7.5,20.0,19.0,335.0,6700.0,76.52380952380952,5.428571428571429,0.0,6648.0952380952385,3413.3333333333335,21,0
PRV51057,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1366.0,6830.0,78.25,3.0,0.0,15000.0,3370.0,4,0
PRV51058,No,5.0,5.0,18200.0,91000.0,7.4,16.0,8.4,78.0,71.0,205.51282051282053,16030.0,73.14666666666666,4.48,0.0,4820.133333333333,1940.2666666666667,75,0
PRV51059,Yes,25.0,23.0,16040.0,401000.0,6.88,35.0,8.88,71.0,60.0,282.53521126760563,20060.0,73.4390243902439,4.024390243902439,0.0,10835.975609756097,1778.0487804878048,82,1
PRV51060,No,5.0,5.0,7000.0,35000.0,4.8,9.0,8.4,37.0,37.0,235.40540540540542,8710.0,71.47619047619048,4.523809523809524,0.0,3784.285714285714,1463.5714285714287,42,0
PRV51061,No,1.0,1.0,3000.0,3000.0,8.0,8.0,7.0,144.0,66.0,360.69444444444446,51940.0,74.31343283582089,4.044776119402985,0.0,4675.522388059701,2525.9701492537315,67,0
PRV51062,No,3.0,3.0,15000.0,45000.0,4.333333333333333,6.0,9.0,394.0,164.0,275.0761421319797,108380.0,71.74698795180723,4.0,0.0,4204.096385542169,1917.6506024096386,166,0
PRV51063,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,115.0,343.02013422818794,51110.0,69.13913043478261,4.426086956521739,0.008695652173913044,3849.304347826087,2977.391304347826,115,0
PRV51064,Yes,36.0,34.0,7777.777777777777,280000.0,5.305555555555555,29.0,7.833333333333333,267.0,198.0,300.8239700374532,80320.0,72.68722466960352,4.52863436123348,0.004405286343612335,5236.1233480176215,2001.9823788546255,227,1
PRV51065,No,10.0,10.0,7500.0,75000.0,5.6,17.0,8.9,18.0,16.0,87.22222222222223,1570.0,75.57692307692308,4.615384615384615,0.0,6088.076923076923,1683.4615384615386,26,0
PRV51066,No,2.0,2.0,9500.0,19000.0,2.0,3.0,7.5,22.0,19.0,263.1818181818182,5790.0,68.52380952380952,3.8095238095238093,0.047619047619047616,5714.285714285715,1204.7619047619048,21,0
PRV51067,Yes,12.0,11.0,27166.666666666668,326000.0,6.583333333333333,23.0,8.916666666666666,46.0,39.0,185.2173913043478,8520.0,67.83673469387755,4.224489795918367,0.0,11150.204081632653,1770.204081632653,49,1
PRV51068,No,9.0,9.0,8555.555555555555,77000.0,3.0,6.0,7.777777777777778,252.0,206.0,262.93650793650795,66260.0,69.94392523364486,4.154205607476635,0.014018691588785047,2744.7196261682243,1724.4392523364486,214,0
PRV51070,No,10.0,10.0,10100.0,101000.0,4.1,15.0,7.7,89.0,61.0,274.2696629213483,24410.0,70.69565217391305,4.072463768115942,0.0,4296.086956521739,2351.159420289855,69,0
PRV51071,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,356.25,8550.0,68.41666666666667,4.875,0.0,4195.833333333333,2279.1666666666665,24,0
PRV51072,No,12.0,12.0,6000.0,72000.0,4.25,13.0,8.833333333333334,200.0,150.0,235.85,47170.0,70.8875,4.40625,0.025,4419.1875,2065.25,160,0
PRV51074,No,5.0,5.0,6200.0,31000.0,2.6,4.0,8.2,34.0,34.0,299.11764705882354,10170.0,72.8974358974359,4.615384615384615,0.0,5348.717948717948,1971.7948717948718,39,0
PRV51075,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,502.94117647058823,8550.0,74.92307692307692,4.615384615384615,0.0,3203.846153846154,2197.6923076923076,13,0
PRV51076,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,27.0,352.7586206896552,10230.0,75.66666666666667,4.888888888888889,0.037037037037037035,4973.7037037037035,2139.6296296296296,27,0
PRV51077,Yes,16.0,13.0,12437.5,199000.0,5.9375,19.0,7.9375,17.0,17.0,314.70588235294116,5350.0,71.23333333333333,5.466666666666667,0.0,8792.0,2517.6666666666665,30,1
PRV51078,No,9.0,9.0,8444.444444444445,76000.0,6.666666666666667,21.0,8.88888888888889,14.0,14.0,162.14285714285714,2270.0,70.6086956521739,4.217391304347826,0.0,4907.391304347826,952.6086956521739,23,0
PRV51081,No,6.0,6.0,13166.666666666666,79000.0,6.0,10.0,8.333333333333334,194.0,125.0,232.37113402061857,45080.0,70.81679389312977,4.480916030534351,0.007633587786259542,5272.137404580153,2129.389312977099,131,0
PRV51082,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,31.0,160.88235294117646,5470.0,72.25806451612904,3.935483870967742,0.0,7421.935483870968,5438.709677419355,31,0
PRV51083,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,81.0,201.11111111111111,18100.0,74.23456790123457,4.604938271604938,0.0,3913.0864197530864,2032.3456790123457,81,0
PRV51084,Yes,20.0,19.0,9550.0,191000.0,5.65,28.0,8.4,90.0,67.0,273.1111111111111,24580.0,72.14117647058823,4.447058823529412,0.0,5558.588235294118,1388.0,85,1
PRV51086,No,31.0,30.0,13322.58064516129,413000.0,4.838709677419355,11.0,8.548387096774194,108.0,86.0,307.1296296296296,33170.0,74.32173913043478,4.426086956521739,0.017391304347826087,7353.304347826087,1974.1739130434783,115,0
PRV51089,No,18.0,18.0,9833.333333333334,177000.0,5.166666666666667,14.0,8.444444444444445,210.0,179.0,256.6666666666667,53900.0,71.23857868020305,4.385786802030457,0.01015228426395939,6220.05076142132,1891.1675126903554,197,0
PRV51090,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,832.8571428571429,5830.0,71.71428571428571,4.285714285714286,0.0,714.2857142857143,2831.4285714285716,7,0
PRV51091,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,210.6818181818182,9270.0,69.04545454545455,4.5,0.022727272727272728,7451.363636363636,2429.090909090909,44,0
PRV51093,No,2.0,2.0,5500.0,11000.0,6.0,11.0,9.0,7.0,7.0,387.14285714285717,2710.0,75.55555555555556,4.666666666666667,0.0,4688.888888888889,900.0,9,0
PRV51096,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,640.0,3200.0,85.2,4.8,0.0,4800.0,3372.0,5,0
PRV51097,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,71.0,355.36,44420.0,69.92957746478874,3.676056338028169,0.0,3007.605633802817,2551.6901408450703,71,0
PRV51098,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,75.0,300.0,81.75,6.0,0.0,15500.0,2297.5,4,0
PRV51100,No,5.0,5.0,15600.0,78000.0,6.0,9.0,8.6,0.0,0.0,0.0,0.0,70.6,3.6,0.2,15738.0,742.0,5,0
PRV51101,No,3.0,3.0,5533.333333333333,16600.0,3.3333333333333335,6.0,7.333333333333333,0.0,0.0,0.0,0.0,57.0,6.333333333333333,0.0,9200.0,173.33333333333334,3,0
PRV51102,No,12.0,11.0,12333.333333333334,148000.0,4.0,10.0,8.333333333333334,0.0,0.0,0.0,0.0,80.72727272727273,4.636363636363637,0.0,14818.181818181818,697.2727272727273,11,0
PRV51103,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,73.33333333333333,440.0,74.0,7.25,0.0,2000.0,1182.5,4,1
PRV51104,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,158.33333333333334,1900.0,76.77777777777777,4.777777777777778,0.0,3666.6666666666665,1504.4444444444443,9,0
PRV51105,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,545.0,6540.0,76.08333333333333,5.083333333333333,0.0,8048.333333333333,4275.0,12,0
PRV51108,No,19.0,19.0,8210.526315789473,156000.0,5.2631578947368425,16.0,7.578947368421052,0.0,0.0,0.0,0.0,71.89473684210526,5.947368421052632,0.0,13471.052631578947,2044.2105263157894,19,0
PRV51109,No,3.0,3.0,6000.0,18000.0,6.333333333333333,9.0,8.666666666666666,0.0,0.0,0.0,0.0,56.0,8.333333333333334,0.0,7833.333333333333,1070.0,3,0
PRV51110,No,5.0,5.0,5400.0,27000.0,10.2,28.0,9.4,0.0,0.0,0.0,0.0,67.6,5.6,0.0,5456.0,1188.0,5,0
PRV51111,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,85.0,415.6060606060606,54860.0,72.52941176470588,4.305882352941176,0.0,3469.176470588235,2663.294117647059,85,0
PRV51112,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,195.0,346.2171052631579,105250.0,70.70769230769231,4.133333333333334,0.015384615384615385,4497.589743589743,2387.846153846154,195,0
PRV51113,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,78.0,351.43939393939394,46390.0,72.41025641025641,3.8974358974358974,0.01282051282051282,2968.7179487179487,1835.3846153846155,78,0
PRV51114,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,160.0,292.82442748091603,76720.0,70.3375,4.23125,0.0125,3532.3125,2071.875,160,0
PRV51115,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,140.0,980.0,72.5,4.5,0.0,4833.333333333333,1721.6666666666667,6,0
PRV51117,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,162.5,1950.0,67.3,5.8,0.0,6450.0,4926.0,10,0
PRV51118,No,16.0,16.0,8500.0,136000.0,4.25,13.0,7.8125,0.0,0.0,0.0,0.0,67.1875,5.0625,0.0,21635.0,7256.25,16,0
PRV51119,Yes,94.0,81.0,10478.72340425532,985000.0,5.9787234042553195,35.0,8.01063829787234,1.0,1.0,95580.0,95580.0,74.74074074074075,5.1234567901234565,0.012345679012345678,18585.802469135804,3007.1604938271603,81,1
PRV51120,No,7.0,7.0,7428.571428571428,52000.0,4.142857142857143,6.0,9.142857142857142,0.0,0.0,0.0,0.0,60.857142857142854,5.0,0.0,13302.857142857143,470.0,7,0
PRV51121,No,6.0,6.0,13500.0,81000.0,6.5,10.0,7.666666666666667,1.0,1.0,80.0,80.0,66.42857142857143,4.428571428571429,0.14285714285714285,16607.14285714286,5070.0,7,0
PRV51122,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,160.0,1120.0,66.71428571428571,2.857142857142857,0.0,1005.7142857142857,3861.4285714285716,7,0
PRV51123,No,2.0,2.0,4500.0,9000.0,2.5,4.0,9.0,29.0,28.0,617.5862068965517,17910.0,69.5,4.142857142857143,0.0,2752.5,3357.5,28,0
PRV51125,No,12.0,12.0,9166.666666666666,110000.0,4.333333333333333,11.0,8.5,36.0,20.0,591.9444444444445,21310.0,68.65625,4.09375,0.0,6405.625,1442.1875,32,0
PRV51126,Yes,20.0,14.0,8850.0,177000.0,6.5,28.0,8.05,0.0,0.0,0.0,0.0,69.42857142857143,5.214285714285714,0.0,13242.857142857143,5637.857142857143,14,1
PRV51128,No,5.0,3.0,18000.0,90000.0,6.4,12.0,8.4,45.0,37.0,271.55555555555554,12220.0,67.89473684210526,4.526315789473684,0.0,5550.263157894737,1910.7894736842106,38,0
PRV51129,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,65.0,238.75,22920.0,73.55384615384615,4.153846153846154,0.0,4631.076923076923,2428.0,65,0
PRV51130,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,710.0,4970.0,61.857142857142854,4.714285714285714,0.0,2865.714285714286,1795.7142857142858,7,0
PRV51131,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,145.0,1160.0,74.375,4.125,0.0,3752.5,973.75,8,0
PRV51132,No,1.0,1.0,4000.0,4000.0,4.0,4.0,7.0,7.0,5.0,190.0,1330.0,72.0,2.5,0.0,1166.6666666666667,1100.0,6,0
PRV51134,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,507.3333333333333,7610.0,67.16666666666667,3.6666666666666665,0.0,2705.8333333333335,3695.0,12,0
PRV51135,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,60.0,300.0,69.5,4.5,0.0,2000.0,520.0,2,0
PRV51136,No,1.0,1.0,20000.0,20000.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,71.0,2.0,0.0,20000.0,400.0,1,0
PRV51137,No,1.0,1.0,6000.0,6000.0,7.0,7.0,9.0,54.0,50.0,186.11111111111111,10050.0,72.52941176470588,4.705882352941177,0.0196078431372549,4620.392156862745,1852.549019607843,51,0
PRV51138,No,1.0,1.0,6000.0,6000.0,1.0,1.0,5.0,25.0,20.0,297.2,7430.0,73.0952380952381,3.5714285714285716,0.0,6259.047619047619,1500.4761904761904,21,0
PRV51139,No,7.0,7.0,5900.0,41300.0,3.857142857142857,8.0,8.714285714285714,36.0,35.0,313.3333333333333,11280.0,74.5,4.404761904761905,0.0,4243.0952380952385,2907.8571428571427,42,0
PRV51140,No,47.0,45.0,6540.425531914893,307400.0,6.0212765957446805,29.0,7.957446808510638,440.0,363.0,331.20454545454544,145730.0,72.83502538071066,4.271573604060913,0.0,4583.934010152284,2059.796954314721,394,0
PRV51141,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,37.0,274.50704225352115,19490.0,75.94594594594595,3.5945945945945947,0.0,5921.621621621622,1439.4594594594594,37,0
PRV51142,No,7.0,5.0,13857.142857142857,97000.0,7.428571428571429,22.0,8.857142857142858,44.0,35.0,172.04545454545453,7570.0,72.8157894736842,4.157894736842105,0.0,6242.368421052632,2793.157894736842,38,0
PRV51143,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,68.0,265.5844155844156,20450.0,72.41176470588235,3.9558823529411766,0.014705882352941176,5144.411764705882,1627.7941176470588,68,0
PRV51144,No,4.0,4.0,13250.0,53000.0,5.0,13.0,8.75,26.0,25.0,316.15384615384613,8220.0,76.58620689655173,4.241379310344827,0.034482758620689655,4238.9655172413795,2138.6206896551726,29,0
PRV51145,Yes,161.0,125.0,9941.614906832297,1600600.0,5.937888198757764,35.0,7.925465838509317,41.0,39.0,140.2439024390244,5750.0,73.07453416149069,4.726708074534161,0.006211180124223602,11560.310559006211,1310.4968944099378,161,1
PRV51146,Yes,162.0,157.0,9988.888888888889,1618200.0,5.049382716049383,30.0,8.0,190.0,177.0,330.05263157894734,62710.0,73.52395209580838,4.748502994011976,0.008982035928143712,9616.706586826347,2086.7664670658683,334,1
PRV51147,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,276.875,8860.0,71.59375,3.65625,0.0,3880.0,2430.9375,32,0
PRV51148,Yes,34.0,33.0,11717.64705882353,398400.0,4.029411764705882,15.0,8.176470588235293,296.0,230.0,304.93243243243245,90260.0,73.95437262357414,4.3726235741444865,0.0,5451.596958174905,2023.916349809886,263,1
PRV51149,Yes,116.0,108.0,9594.827586206897,1113000.0,5.612068965517241,26.0,8.181034482758621,32.0,28.0,240.0,7680.0,71.67647058823529,5.338235294117647,0.0,14261.838235294117,2457.1323529411766,136,1
PRV51151,No,22.0,22.0,6454.545454545455,142000.0,4.181818181818182,9.0,8.0,211.0,203.0,281.042654028436,59300.0,73.56444444444445,4.622222222222222,0.0044444444444444444,5422.311111111111,2594.488888888889,225,0
PRV51152,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,39.0,310.48192771084337,25770.0,73.28205128205128,4.128205128205129,0.0,4554.358974358975,1831.5384615384614,39,0
PRV51153,No,4.0,4.0,12750.0,51000.0,8.75,15.0,7.5,83.0,79.0,246.86746987951807,20490.0,73.3012048192771,4.457831325301205,0.024096385542168676,6811.325301204819,1617.710843373494,83,0
PRV51154,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,147.0,284.16149068322983,45750.0,74.5374149659864,4.333333333333333,0.006802721088435374,3402.2448979591836,2095.714285714286,147,0
PRV51155,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,110.0,228.95652173913044,26330.0,73.02727272727273,4.1,0.00909090909090909,4839.181818181818,1700.7272727272727,110,0
PRV51156,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,425.0,259.48339483394835,140640.0,73.45411764705882,3.9552941176470586,0.002352941176470588,4371.270588235294,1818.4941176470588,425,0
PRV51159,Yes,65.0,60.0,9779.384615384615,635660.0,5.630769230769231,35.0,8.03076923076923,504.0,448.0,321.68650793650795,162130.0,73.82411067193677,4.262845849802371,0.003952569169960474,5174.249011857708,2132.391304347826,506,1
PRV51160,No,90.0,87.0,9622.222222222223,866000.0,5.655555555555556,30.0,7.955555555555556,24.0,24.0,250.83333333333334,6020.0,73.13636363636364,5.4,0.0,13918.454545454546,1847.909090909091,110,0
PRV51164,No,41.0,40.0,10804.878048780487,443000.0,6.2926829268292686,30.0,8.487804878048781,350.0,298.0,325.65714285714284,113980.0,73.23952095808383,4.299401197604791,0.0,5275.568862275449,2207.5149700598804,334,0
PRV51165,No,26.0,26.0,11769.23076923077,306000.0,6.576923076923077,35.0,8.192307692307692,72.0,71.0,329.1666666666667,23700.0,75.10309278350516,4.381443298969073,0.0,6314.948453608247,2362.680412371134,97,0
PRV51166,No,1.0,1.0,22000.0,22000.0,16.0,16.0,8.0,4.0,4.0,717.5,2870.0,71.4,3.8,0.0,7200.0,2602.0,5,0
PRV51167,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,182.0,273.57894736842104,51980.0,74.57142857142857,4.461538461538462,0.005494505494505495,4741.483516483517,1879.89010989011,182,0
PRV51168,No,9.0,9.0,7000.0,63000.0,5.222222222222222,15.0,6.888888888888889,78.0,77.0,223.97435897435898,17470.0,73.45348837209302,4.4186046511627906,0.011627906976744186,5028.372093023256,2209.0697674418607,86,0
PRV51169,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,74.0,251.6883116883117,19380.0,74.64864864864865,4.405405405405405,0.0,3638.7837837837837,2875.2702702702704,74,0
PRV51170,Yes,8.0,8.0,18125.0,145000.0,6.25,27.0,8.0,8.0,8.0,102.5,820.0,72.8125,5.1875,0.0,14669.375,1305.625,16,1
PRV51171,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,234.23728813559322,13820.0,72.88135593220339,4.4576271186440675,0.0,5506.271186440678,2405.2542372881358,59,0
PRV51173,Yes,7.0,7.0,12857.142857142857,90000.0,7.857142857142857,23.0,7.714285714285714,15.0,14.0,419.3333333333333,6290.0,72.76190476190476,3.9047619047619047,0.0,9633.333333333334,3332.8571428571427,21,1
PRV51175,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,39.0,235.3658536585366,9650.0,71.51282051282051,4.6923076923076925,0.0,3473.3333333333335,1831.025641025641,39,0
